category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
Faith,Old Testament,Who built the ark?,Moses,Noah,David,Abraham,B,Noah built the ark as recorded in Genesis 6.,Easy
Faith,Old Testament,Who led the Israelites out of Egypt?,Joseph,Moses,Aaron,Joshua,B,Moses led the Israelites out of Egypt in the Exodus story.,Easy
Faith,Old Testament,Who was thrown into the lions' den?,Daniel,Elijah,Isaiah,Samuel,A,Daniel was thrown into the lions' den but God protected him.,Easy
Faith,Old Testament,Who defeated Goliath?,Saul,Jonathan,David,Solomon,C,David defeated Goliath with a sling and stone.,Easy
Faith,Old Testament,What is the first book of the Bible?,Genesis,Exodus,Psalms,Matthew,A,Genesis is the first book of the Bible.,Easy
Faith,Old Testament,Who was sold by his brothers and later rose to power in Egypt?,Joseph,Benjamin,Isaac,Jacob,A,Joseph was sold by his brothers and became a leader in Egypt.,Easy
Faith,Old Testament,Who built a very large temple in Jerusalem?,David,Solomon,Samuel,Ezra,B,Solomon built the first temple in Jerusalem.,Easy
Faith,Old Testament,Who was swallowed by a great fish?,Jonah,Micah,Joel,Amos,A,Jonah was swallowed by a great fish after fleeing God's call.,Easy
Faith,Old Testament,Who interpreted dreams for Pharaoh?,Moses,Joseph,Aaron,Elijah,B,Joseph interpreted Pharaoh's dreams in Genesis 41.,Easy
Faith,Old Testament,What sea parted for the Israelites?,Dead Sea,Sea of Galilee,Red Sea,Mediterranean Sea,C,God parted the Red Sea for the Israelites to cross.,Easy
Faith,Old Testament,Who was Abraham's wife?,Rachel,Sarah,Rebekah,Miriam,B,Sarah was Abraham's wife.,Easy
Faith,Old Testament,Who was Isaac's father?,Jacob,Moses,Abraham,Joseph,C,Abraham was the father of Isaac.,Easy
Faith,Old Testament,What did God create on the first day?,Animals,Sun and moon,Light,Humans,C,"According to Genesis 1, God created light on the first day.",Easy
Faith,Old Testament,Who received the Ten Commandments?,Joshua,Aaron,Moses,David,C,Moses received the Ten Commandments on Mount Sinai.,Easy
Faith,Old Testament,Which young woman became queen and saved her people?,Ruth,Esther,Deborah,Hannah,B,Esther became queen and courageously saved her people.,Easy
Faith,Old Testament,Who was known for great strength and long hair?,Samson,Saul,Isaac,Job,A,"Samson was known for his strength, which was tied to his hair.",Easy
Faith,Old Testament,Who stayed faithful during great suffering in the book named after him?,Ezra,Job,Jeremiah,Nehemiah,B,Job remained faithful during intense suffering.,Easy
Faith,Old Testament,"Who followed Naomi and said, 'Your people shall be my people'?",Esther,Leah,Ruth,Miriam,C,Ruth showed loyalty to Naomi with those words.,Easy
Faith,Old Testament,Who was Jacob's twin brother?,Esau,Isaac,Joseph,Benjamin,A,Esau and Jacob were twins.,Easy
Faith,Old Testament,Who marched around Jericho before its walls fell?,David,Joshua,Solomon,Samuel,B,Joshua led Israel around Jericho before the walls fell.,Easy
Faith,New Testament,Who was the mother of Jesus?,Mary,Martha,Elizabeth,Lydia,A,Mary was chosen to be the mother of Jesus.,Easy
Faith,New Testament,In what town was Jesus born?,Nazareth,Bethlehem,Jerusalem,Capernaum,B,Jesus was born in Bethlehem.,Easy
Faith,New Testament,How many disciples did Jesus have?,10,11,12,13,C,Jesus chose 12 disciples.,Easy
Faith,New Testament,Who baptized Jesus?,Peter,John the Baptist,Paul,Andrew,B,John the Baptist baptized Jesus.,Easy
Faith,New Testament,Who denied Jesus three times?,John,James,Peter,Thomas,C,Peter denied Jesus three times before the rooster crowed.,Easy
Faith,New Testament,Who doubted Jesus' resurrection until he saw Him?,Matthew,Thomas,Philip,Bartholomew,B,Thomas doubted until he saw the risen Jesus.,Easy
Faith,New Testament,Who wrote many letters that became books of the New Testament?,Paul,Luke,John the Baptist,Timothy,A,Paul wrote many New Testament letters.,Easy
Faith,New Testament,What is the first book of the New Testament?,Mark,Matthew,Luke,John,B,Matthew is the first book of the New Testament.,Easy
Faith,New Testament,Who was the tax collector that became a disciple?,Matthew,Philip,James,Jude,A,Matthew worked as a tax collector before following Jesus.,Easy
Faith,New Testament,Who climbed a tree to see Jesus?,Nicodemus,Zacchaeus,Barnabas,Silas,B,Zacchaeus climbed a sycamore tree to see Jesus.,Easy
Faith,New Testament,Who preached at Pentecost?,Peter,Thomas,Mark,Luke,A,Peter preached boldly on the day of Pentecost.,Medium
Faith,New Testament,Which disciple was a fisherman and brother of Peter?,Andrew,Matthew,Judas,Simon the Zealot,A,Andrew was Peter's brother and also a fisherman.,Easy
Faith,New Testament,Who was stoned and became the first Christian martyr mentioned in Acts?,Stephen,Barnabas,Titus,Timothy,A,Stephen is known as the first Christian martyr.,Medium
Faith,New Testament,Who traveled with Paul and wrote the book of Acts?,Mark,Luke,James,John,B,Luke wrote both Luke and Acts.,Medium
Faith,New Testament,Who was raised from the dead by Jesus after four days?,Jairus,Lazarus,Stephen,Bartimaeus,B,Jesus raised Lazarus from the dead in John 11.,Easy
Faith,New Testament,What meal did Jesus share with His disciples before His arrest?,Passover meal,Wedding feast,Sabbath meal,Harvest meal,A,The Last Supper took place during Passover.,Easy
Faith,New Testament,On what day did Jesus rise from the dead?,Friday,Saturday,Sunday,Monday,C,Christians celebrate Jesus' resurrection on Sunday.,Easy
Faith,New Testament,"Who said, 'Here am I; send me'?",Isaiah,Paul,Peter,John,A,Isaiah said this in response to God's call.,Medium
Faith,Prayer,What is prayer?,Talking to God,Reading only,Singing only,Working harder,A,Prayer is communication with God.,Easy
Faith,Prayer,Jesus taught His followers to pray using what well-known prayer?,Prayer of Jabez,Lord's Prayer,Psalm 23,Shema,B,Jesus taught the Lord's Prayer in the Gospels.,Easy
Faith,Prayer,Where did Jesus often go to pray?,Marketplace,Mountains or lonely places,Synagogue office,Palace,B,Jesus often withdrew to lonely places to pray.,Medium
Faith,Prayer,What did Jesus pray in the Garden of Gethsemane?,For more money,For God's will to be done,For a new house,For a bigger crowd,B,"Jesus prayed, 'Not my will, but yours be done.'",Medium
Faith,Prayer,What posture is sometimes associated with prayer in the Bible?,Only standing,Only sitting,Many postures including kneeling,Only lying down,C,"People in Scripture prayed standing, kneeling, and in other ways.",Easy
Faith,Christian Living,"According to the fruit of the Spirit, which of these is listed?",Jealousy,Kindness,Pride,Anger,B,Kindness is one of the fruit of the Spirit in Galatians 5.,Medium
Faith,Christian Living,What did Jesus say was the greatest commandment?,Build large houses,Love God,Avoid work,Never travel,B,Jesus said the greatest commandment is to love God.,Medium
Faith,Christian Living,What did Jesus say was like the first great commandment?,Love your neighbor as yourself,Count your money daily,Rule over others,Keep all things secret,A,Jesus taught love of neighbor alongside love of God.,Medium
Faith,Christian Living,What is faith according to Hebrews 11:1 often described as?,A lucky feeling,Confidence in what we hope for,Fear of failure,A public speech,B,Hebrews 11:1 describes faith as confidence in what we hope for.,Medium
Faith,Christian Living,What does Jesus call His followers to be in the world?,Salt and light,Kings and queens,Sellers and buyers,Judges and rulers,A,Jesus says believers are the salt of the earth and light of the world.,Medium
Faith,Christian Living,What book contains the Beatitudes?,Genesis,Matthew,Revelation,Romans,B,The Beatitudes appear in Matthew 5.,Medium
The World,Continents,How many continents are there?,5,6,7,8,C,There are 7 continents.,Easy
The World,Continents,Which continent is Nigeria in?,Asia,Africa,Europe,South America,B,Nigeria is in Africa.,Easy
The World,Continents,Which continent is Brazil in?,Africa,Europe,South America,Asia,C,Brazil is in South America.,Easy
The World,Continents,Which continent is India in?,Asia,Europe,Africa,Australia,A,India is in Asia.,Easy
The World,Continents,Which continent is Canada in?,Europe,North America,Asia,Africa,B,Canada is in North America.,Easy
The World,Continents,Which continent is Australia in?,Europe,South America,Australia,Asia,C,Australia is both a country and a continent.,Easy
The World,Continents,Which continent is Germany in?,Europe,Asia,Africa,North America,A,Germany is in Europe.,Easy
The World,Continents,Which continent is Antarctica known for?,Warm jungles,Permanent ice and snow,Large deserts only,Tropical farming,B,Antarctica is known for extreme cold and ice.,Easy
The World,Capitals,What is the capital of France?,Berlin,Paris,Madrid,Rome,B,Paris is the capital of France.,Easy
The World,Capitals,What is the capital of Japan?,Seoul,Tokyo,Beijing,Bangkok,B,Tokyo is the capital of Japan.,Easy
The World,Capitals,What is the capital of Kenya?,Nairobi,Lagos,Cairo,Accra,A,Nairobi is Kenya's capital.,Easy
The World,Capitals,What is the capital of Brazil?,Rio de Janeiro,Brasilia,Sao Paulo,Salvador,B,Brasilia is the capital city of Brazil.,Medium
The World,Capitals,What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,C,Canberra is Australia's capital.,Medium
The World,Capitals,What is the capital of Egypt?,Alexandria,Cairo,Giza,Luxor,B,Cairo is the capital of Egypt.,Easy
The World,Capitals,What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,B,Ottawa is the capital of Canada.,Medium
The World,Capitals,What is the capital of South Africa's administrative government?,Cape Town,Pretoria,Johannesburg,Durban,B,Pretoria is the administrative capital.,Hard
The World,Oceans,Which is the largest ocean?,Atlantic,Indian,Pacific,Arctic,C,The Pacific Ocean is the largest.,Easy
The World,Oceans,Which ocean lies between Africa and Australia?,Atlantic,Indian,Arctic,Southern,B,The Indian Ocean lies between Africa and Australia.,Medium
The World,Oceans,Which ocean is between North America and Europe?,Pacific,Indian,Atlantic,Southern,C,The Atlantic Ocean separates North America and Europe.,Easy
The World,Oceans,Which ocean surrounds the North Pole region?,Arctic,Atlantic,Pacific,Indian,A,The Arctic Ocean is around the North Pole.,Easy
The World,Landforms,Mount Everest is in which mountain range?,Andes,Himalayas,Alps,Rockies,B,Mount Everest is part of the Himalayas.,Easy
The World,Landforms,What is the largest hot desert in the world?,Gobi,Sahara,Kalahari,Arabian,B,The Sahara is the largest hot desert.,Easy
The World,Landforms,The Amazon River is mainly in which continent?,Africa,Asia,South America,Europe,C,The Amazon River is in South America.,Easy
The World,Landforms,Which river is traditionally taught as the longest in the world?,Nile,Yangtze,Mississippi,Danube,A,The Nile is traditionally taught as the longest.,Medium
The World,Landforms,Which mountain is the tallest in Africa?,Kilimanjaro,Everest,Elbrus,Denali,A,Mount Kilimanjaro is Africa's tallest mountain.,Medium
The World,Countries,Which country has the largest population in the world?,United States,India,Brazil,Russia,B,India is currently the most populous country.,Medium
The World,Countries,Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Thailand,C,Japan is often called the Land of the Rising Sun.,Medium
The World,Countries,Which country is famous for the maple leaf on its flag?,United Kingdom,Canada,New Zealand,Ireland,B,Canada's flag features a maple leaf.,Easy
The World,Countries,Which country is both in Europe and Asia?,Spain,Turkey,Kenya,Mexico,B,Turkey spans both Europe and Asia.,Medium
The World,Countries,Which country is home to the city of Rome?,Greece,Italy,France,Portugal,B,Rome is in Italy.,Easy
The World,Flags,What color is central on the flag of Japan?,Blue circle,Red circle,Green square,Black star,B,Japan's flag has a red circle on white.,Easy
The World,Flags,Which country's flag features stars and stripes?,United States,Australia,Liberia,Both A and C,D,Both the U.S. and Liberia use stars and stripes designs.,Hard
The World,Culture,Diwali is widely celebrated in which country?,India,Brazil,Canada,Kenya,A,Diwali is a major festival in India and elsewhere.,Medium
The World,Culture,Carnival in Rio is associated with which country?,Spain,Brazil,Mexico,Italy,B,Rio de Janeiro is in Brazil.,Easy
The World,Culture,The Maasai are associated with which region?,East Africa,South America,Eastern Europe,Central Asia,A,The Maasai are associated with Kenya and Tanzania.,Medium
The World,Culture,Sushi is most associated with which country?,Japan,Italy,India,Egypt,A,Sushi is strongly associated with Japan.,Easy
The World,Geography,What imaginary line divides Earth into Northern and Southern Hemispheres?,Prime Meridian,Equator,Tropic of Cancer,International Date Line,B,The Equator divides Earth into north and south halves.,Easy
The World,Geography,What imaginary line divides East and West Hemispheres at 0 degrees longitude?,Equator,Prime Meridian,Tropic of Capricorn,Arctic Circle,B,The Prime Meridian is 0 degrees longitude.,Medium
The World,Geography,Which hemisphere is most of Africa in?,Northern,Southern,Eastern,Western,C,Most of Africa lies in the Eastern Hemisphere.,Hard
The World,Geography,Which continent has the most countries?,Europe,Africa,Asia,South America,B,Africa has the most internationally recognized countries.,Medium
The World,Geography,Which country contains the city of Lagos?,Ghana,South Africa,Nigeria,Morocco,C,Lagos is one of Nigeria's major cities.,Easy
The World,Geography,Which country contains the city of Nairobi?,Kenya,Uganda,Tanzania,Ethiopia,A,Nairobi is the capital of Kenya.,Easy
The World,Geography,Which country contains the city of Cairo?,Egypt,Jordan,Lebanon,Turkey,A,Cairo is Egypt's capital.,Easy
The World,Geography,Which country contains the city of Mexico City?,Spain,Mexico,Argentina,Peru,B,Mexico City is the capital of Mexico.,Easy
The World,Geography,What is an island?,Land surrounded by water,Water surrounded by land,A mountain range,A desert plain,A,An island is land surrounded by water.,Easy
The World,Geography,What is a peninsula?,Land completely underwater,Land surrounded by water on three sides,A frozen ocean,A large river delta,B,A peninsula is surrounded by water on most sides.,Medium
The World,Geography,What is the name of the line between two countries or regions?,Bridge,Border,Harbor,Valley,B,A border marks the boundary between places.,Easy
The World,Geography,What do we call the weather pattern of a place over a long time?,Season,Climate,Storm,Forecast,B,Climate describes long-term weather patterns.,Easy
The World,Geography,Which map feature explains what symbols on a map mean?,Scale,Legend,Compass,Grid,B,A map legend explains symbols and colors.,Easy
The World,Geography,Which direction is opposite of east?,North,South,West,Up,C,West is opposite of east.,Easy
History,Ancient History,Who built the pyramids of Giza?,Romans,Egyptians,Greeks,Persians,B,The pyramids were built by ancient Egyptians.,Easy
History,Ancient History,Which civilization is associated with the city of Athens?,Roman,Greek,Egyptian,Mayan,B,Athens is one of the most famous cities of ancient Greece.,Easy
History,Ancient History,Who was Julius Caesar?,Greek philosopher,Roman general and statesman,Egyptian king,Medieval monk,B,Julius Caesar was a Roman leader.,Easy
History,Ancient History,The Colosseum is located in which city?,Athens,Rome,Cairo,Jerusalem,B,The Colosseum is in Rome.,Easy
History,Ancient History,Which ancient writing system used picture-like symbols?,Latin,Hieroglyphics,Cuneiform only,Braille,B,Egyptian hieroglyphics used picture-like symbols.,Easy
History,Ancient History,Which ancient civilization is known for philosophers like Socrates and Plato?,Egyptians,Greeks,Mongols,Vikings,B,Socrates and Plato were Greek philosophers.,Easy
History,Ancient History,Which wall was built in China over many centuries?,Berlin Wall,Great Wall,Hadrian's Wall,Western Wall,B,The Great Wall was built in China.,Easy
History,Ancient History,What was the main language of the Roman Empire?,Greek only,Latin,Hebrew,Arabic,B,Latin was the main language of Rome.,Medium
History,Ancient History,Which ancient civilization built Machu Picchu?,Aztec,Inca,Maya,Roman,B,Machu Picchu is associated with the Inca civilization.,Medium
History,Ancient History,Who was Cleopatra?,Roman senator,Queen of Egypt,Greek goddess,Mayan ruler,B,Cleopatra was a queen of Egypt.,Easy
History,World History,Who is often credited with reaching the Americas in 1492?,Marco Polo,Christopher Columbus,Ferdinand Magellan,James Cook,B,Columbus reached the Americas in 1492.,Easy
History,World History,What invention is Johannes Gutenberg famous for improving?,Compass,Printing press,Steam engine,Telephone,B,Gutenberg is known for the printing press.,Medium
History,World History,The Renaissance began in which country?,France,Italy,Germany,England,B,The Renaissance began in Italy.,Medium
History,World History,Who was the first emperor of a unified Rome?,Julius Caesar,Augustus,Nero,Trajan,B,Augustus became the first Roman emperor.,Hard
History,World History,What was the name of the trade route linking Asia and Europe?,Spice Road,Silk Road,Gold Path,Royal Trail,B,The Silk Road linked Asia and Europe.,Medium
History,World History,What ship famously sank in 1912?,Mayflower,Titanic,Santa Maria,Bismarck,B,The Titanic sank in 1912.,Easy
History,World History,Who was known as the Maid of Orleans?,Joan of Arc,Marie Curie,Queen Victoria,Catherine the Great,A,Joan of Arc is known as the Maid of Orleans.,Medium
History,World History,Which explorer completed the first circumnavigation expedition?,Columbus,Magellan's expedition,Cook,Drake,B,Magellan's expedition completed the first circumnavigation.,Hard
History,World History,Which empire was ruled from Istanbul after 1453?,Roman Empire,Ottoman Empire,Persian Empire,Mughal Empire,B,Istanbul became the Ottoman capital.,Hard
History,World History,Which pandemic struck Europe in the 14th century?,Spanish Flu,Black Death,COVID-19,Smallpox only,B,The Black Death devastated Europe in the 1300s.,Medium
History,United States History,Who was the first president of the United States?,Thomas Jefferson,George Washington,John Adams,Abraham Lincoln,B,George Washington was the first U.S. president.,Easy
History,United States History,In what year was the Declaration of Independence adopted?,1776,1789,1812,1865,A,The Declaration of Independence was adopted in 1776.,Easy
History,United States History,Which war was fought between the North and South in the United States?,Revolutionary War,Civil War,War of 1812,World War I,B,The Civil War was fought between the Union and Confederacy.,Easy
History,United States History,Who issued the Emancipation Proclamation?,George Washington,Abraham Lincoln,Andrew Jackson,Ulysses S. Grant,B,Lincoln issued the Emancipation Proclamation.,Easy
History,United States History,What document begins with 'We the People'?,Bill of Rights,Constitution,Declaration of Independence,Gettysburg Address,B,The U.S. Constitution begins with 'We the People.',Easy
History,United States History,Who purchased Louisiana Territory for the United States?,Washington,Jefferson,Lincoln,Monroe,B,Thomas Jefferson oversaw the Louisiana Purchase.,Medium
History,United States History,What movement fought to end segregation and secure equal rights for Black Americans?,Temperance Movement,Civil Rights Movement,Progressive Movement,Populist Movement,B,The Civil Rights Movement challenged segregation and inequality.,Easy
History,United States History,Who gave the 'I Have a Dream' speech?,Malcolm X,Martin Luther King Jr.,Frederick Douglass,John Lewis,B,Dr. King delivered the speech in 1963.,Easy
History,United States History,What event led to the U.S. entering World War II?,Battle of Gettysburg,Pearl Harbor attack,Boston Tea Party,Apollo 11,B,The attack on Pearl Harbor led to U.S. entry into WWII.,Easy
History,United States History,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,Sally Ride,Harriet Tubman,Susan B. Anthony,A,Amelia Earhart achieved this historic flight.,Medium
History,Modern History,World War II ended in what year?,1939,1942,1945,1950,C,World War II ended in 1945.,Easy
History,Modern History,Which conflict is often called the Great War?,World War I,World War II,Korean War,Vietnam War,A,World War I was often called the Great War.,Medium
History,Modern History,Who was imprisoned for fighting apartheid and later became South Africa's president?,Desmond Tutu,Nelson Mandela,Kofi Annan,Patrice Lumumba,B,Nelson Mandela later became president of South Africa.,Easy
History,Modern History,"What wall fell in 1989, symbolizing the end of the Cold War in Europe?",Great Wall,Berlin Wall,Hadrian's Wall,Western Wall,B,The Berlin Wall fell in 1989.,Easy
History,Modern History,Which woman became the first prime minister of the United Kingdom?,Angela Merkel,Margaret Thatcher,Indira Gandhi,Theresa May,B,Margaret Thatcher was the first woman to hold the office.,Medium
History,Modern History,What spacecraft landed the first humans on the Moon?,Apollo 11,Voyager 1,Sputnik 1,Challenger,A,Apollo 11 carried the first humans to the Moon.,Easy
History,Modern History,Who was the first person to step on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,John Glenn,C,Neil Armstrong was the first to step on the Moon.,Easy
History,Modern History,The Cold War was primarily a rivalry between the United States and which other superpower?,China,Soviet Union,Germany,Japan,B,The Cold War centered on the U.S. and Soviet Union.,Easy
History,Modern History,Which famous ship carried English settlers to Plymouth in 1620?,Titanic,Mayflower,Endeavour,Beagle,B,The Mayflower carried settlers to Plymouth.,Medium
History,Modern History,What was the name of the economic crisis that began in 1929?,Industrial Boom,Great Depression,Dot-com crash,Oil Crisis,B,The Great Depression began after the 1929 stock market crash.,Medium
History,Social Justice History,Who is known for leading the Underground Railroad?,Rosa Parks,Harriet Tubman,Sojourner Truth,Ida B. Wells,B,Harriet Tubman led many enslaved people to freedom.,Easy
History,Social Justice History,"Who refused to give up her seat on a bus in Montgomery, Alabama?",Maya Angelou,Rosa Parks,Coretta Scott King,Ella Baker,B,Rosa Parks' act became a key civil rights moment.,Easy
History,Social Justice History,Who was a former enslaved man who became a famous abolitionist speaker and writer?,Booker T. Washington,Frederick Douglass,W.E.B. Du Bois,Langston Hughes,B,Frederick Douglass became a leading abolitionist voice.,Medium
History,Social Justice History,Who founded Hull House and worked for social reform in Chicago?,Susan B. Anthony,Jane Addams,Clara Barton,Dorothea Dix,B,Jane Addams co-founded Hull House.,Hard
History,Social Justice History,Who was the first woman to win the Nobel Peace Prize?,Marie Curie,Jane Addams,Mother Teresa,Wangari Maathai,B,Jane Addams won the Nobel Peace Prize in 1931.,Hard
History,Social Justice History,Who co-founded the Student Nonviolent Coordinating Committee (SNCC) and later represented Georgia in Congress?,John Lewis,Bayard Rustin,Andrew Young,Medgar Evers,A,John Lewis was a civil rights leader and congressman.,Medium
History,Social Justice History,What was the 19th Amendment to the U.S. Constitution about?,Ending slavery,Women's right to vote,Freedom of speech,Lowering taxes,B,The 19th Amendment gave women the right to vote.,Medium
History,Social Justice History,Who was known for saying 'Ain't I a Woman?',Harriet Tubman,Sojourner Truth,Ida B. Wells,Shirley Chisholm,B,Sojourner Truth delivered this famous speech.,Medium
History,Social Justice History,Which South African system enforced racial segregation before the 1990s?,Colonialism,Apartheid,Feudalism,Mercantilism,B,Apartheid enforced racial segregation in South Africa.,Easy
History,Social Justice History,Who became the first Black woman elected to the U.S. Congress?,Barbara Jordan,Shirley Chisholm,Oprah Winfrey,Kamala Harris,B,Shirley Chisholm achieved this historic first.,Medium
Civics,Government Basics,What is a democracy?,Rule by one person,Rule by the people,Rule by the military,Rule by judges only,B,"In a democracy, people participate in choosing leaders.",Easy
Civics,Government Basics,How many branches does the U.S. federal government have?,2,3,4,5,B,"The branches are legislative, executive, and judicial.",Easy
Civics,Government Basics,Which branch makes laws in the United States?,Executive,Judicial,Legislative,Military,C,The legislative branch makes laws.,Easy
Civics,Government Basics,Which branch enforces laws?,Legislative,Executive,Judicial,Media,B,The executive branch enforces laws.,Easy
Civics,Government Basics,Which branch interprets laws?,Executive,Legislative,Judicial,Cabinet,C,Courts in the judicial branch interpret laws.,Easy
Civics,Government Basics,What is the U.S. Constitution?,A newspaper,The supreme law of the land,A campaign speech,A state map,B,The Constitution is the highest law in the United States.,Easy
Civics,Government Basics,What do we call a change added to the Constitution?,Revision,Amendment,Campaign,Petition,B,Changes to the Constitution are called amendments.,Easy
Civics,Government Basics,What is the Bill of Rights?,The first 10 amendments,A list of taxes,A campaign platform,A Supreme Court case,A,The Bill of Rights is the first 10 amendments.,Easy
Civics,Government Basics,Who signs a bill into law at the federal level?,Chief Justice,President,Governor,Senator,B,The President signs federal bills into law.,Easy
Civics,Government Basics,Who can veto a bill passed by Congress?,Speaker of the House,President,Secretary of State,Chief Justice,B,The President can veto bills.,Easy
Civics,Elections,What is a ballot?,A speech,A vote paper or voting record,A campaign donation,A court order,B,A ballot is used to cast votes.,Easy
Civics,Elections,Why do citizens vote?,To choose leaders and decide issues,To write laws alone,To serve on juries,To avoid taxes,A,Voting allows citizens to participate in government.,Easy
Civics,Elections,What is an election?,A court hearing,A process for choosing leaders,A tax law,A police report,B,An election is used to choose leaders or decide issues.,Easy
Civics,Elections,What is voter registration?,A sports signup,Signing up to be eligible to vote,A court sentence,A census count,B,People often must register before voting.,Easy
